Reactants,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,mapped_reactants
O.[CoA][S][C]([C]([H])([C]([H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[N]([H])[H])[N]([H])[H])[H])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([H:6])([C:7]([H:8])([C:9]([H:10])([H:11])[C:12]([H:13])([H:14])[C:15]([H:16])([H:17])[N:18]([H:19])[H:20])[N:21]([H:22])[H:23])[H:24])=[O:25]
C(C(C(O)=O)CC(C(O)=O)N)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH:2]([C:3]([OH:4])=[O:5])[CH2:6][CH:7]([C:8]([OH:9])=[O:10])[NH2:11])([OH:12])=[O:13].[Ad:14][O:15][P:16](=[O:17])([O:18][H:19])[O:20][P:21](=[O:22])([O:23][H:24])[O:25][P:26](=[O:27])([O:28][H:29])[O:30][H:31].[CoA:32][S:33][H:34]
C(O)(O)=O.[Ad][O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][P](=[O])([O][H])[O][H].[CoA][S][C]([C]([C]([C]([N]([H])[H])([C](=[O])[S][CoA])[C](=[O])[S][CoA])([H])[H])([H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([OH:2])([OH:3])=[O:4].[Ad:5][O:6][P:7](=[O:8])([O:9][H:10])[O:11][P:12](=[O:13])([O:14][H:15])[O:16][P:17](=[O:18])([O:19][H:20])[O:21][H:22].[CoA:23][S:24][C:25]([C:26]([C:27]([C:28]([N:29]([H:30])[H:31])([C:32](=[O:33])[S:34][CoA:35])[C:36](=[O:37])[S:38][CoA:39])([H:40])[H:41])([H:42])[C:43](=[O:44])[S:45][CoA:46])=[O:47]
O.[CoA][S][C]([C](=[O])[C]([C]([C](=[O])[O][H])([H])[H])([H])[H])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5](=[O:6])[C:7]([C:8]([C:9](=[O:10])[O:11][H:12])([H:13])[H:14])([H:15])[H:16])=[O:17]
C(C(C(O)=O)CC(C(O)=O)N)(O)=O.O.[NAD+],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([CH:2]([C:3]([OH:4])=[O:5])[CH2:6][CH:7]([C:8]([OH:9])=[O:10])[NH2:11])([OH:12])=[O:13].[OH2:14].[NAD+:15]
C(=O)=O.[Ad][S+]([C]([H])([H])[H])[C]([C]([C]([N]([H])[H])([H])[H])([H])[H])([H])[H],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1](=[O:2])=[O:3].[Ad:4][S+:5]([C:6]([H:7])([H:8])[H:9])[C:10]([C:11]([C:12]([N:13]([H:14])[H:15])([H:16])[H:17])([H:18])[H:19])([H:20])[H:21]
O.[CoA][S][C]([C](=[C]([H])[H])[C](=[O])[S][CoA])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5](=[C:6]([H:7])[H:8])[C:9](=[O:10])[S:11][CoA:12])=[O:13]
O.[O]([C]([C]([C]([H])([C](=[O])[S][CoA])[C](=[O])[S][CoA])([H])[C](=[O])[O][H])=[O])[H],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[O:2]([C:3]([C:4]([C:5]([H:6])([C:7](=[O:8])[S:9][CoA:10])[C:11](=[O:12])[S:13][CoA:14])([H:15])[C:16](=[O:17])[O:18][H:19])=[O:20])[H:21]
[C]([C]([N]([H])[H])([C]([C](=[O])[O][H])([H])[H])[C](=[O])[S][CoA])(=[O])[O][H],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[C:1]([C:2]([N:3]([H:4])[H:5])([C:6]([C:7](=[O:8])[O:9][H:10])([H:11])[H:12])[C:13](=[O:14])[S:15][CoA:16])(=[O:17])[O:18][H:19]
O.[CoA][S][C]([C]([C]([C](=[O])[C](=[O])[O][H])([H])[H])([H])[H])=[O],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[OH2:1].[CoA:2][S:3][C:4]([C:5]([C:6]([C:7](=[O:8])[C:9](=[O:10])[O:11][H:12])([H:13])[H:14])([H:15])[H:16])=[O:17]
